financial_year,type,status,no_of_units
2007,"Shops, Lock-Up Shops and Eating Houses",Completed,35
2007,"Shops, Lock-Up Shops and Eating Houses",Under Construction,49
2007,"Shops, Lock-Up Shops and Eating Houses",Awarded,32
2007,Mini-markets,Completed,0
2007,Mini-markets,Under Construction,0
2007,Mini-markets,Awarded,0
2007,Markets and Hawker Centres,Completed,0
2007,Markets and Hawker Centres,Under Construction,1
2007,Markets and Hawker Centres,Awarded,1
2007,Kiosks and Shoplets,Completed,0
2007,Kiosks and Shoplets,Under Construction,0
2007,Kiosks and Shoplets,Awarded,0
2007,Food Courts,Completed,0
2007,Food Courts,Under Construction,1
2007,Food Courts,Awarded,0
2007,Restaurants and Fast Food Restaurants,Completed,0
2007,Restaurants and Fast Food Restaurants,Under Construction,0
2007,Restaurants and Fast Food Restaurants,Awarded,0
2007,Emporiums and Supermarkets,Completed,1
2007,Emporiums and Supermarkets,Under Construction,4
2007,Emporiums and Supermarkets,Awarded,0
2007,Offices,Completed,0
2007,Offices,Under Construction,0
2007,Offices,Awarded,0
2007,Commercial Spaces,Completed,0
2007,Commercial Spaces,Under Construction,2
2007,Commercial Spaces,Awarded,0
2008,"Shops, Lock-Up Shops and Eating Houses",Completed,19
2008,"Shops, Lock-Up Shops and Eating Houses",Under Construction,47
2008,"Shops, Lock-Up Shops and Eating Houses",Awarded,18
2008,Mini-markets,Completed,0
2008,Mini-markets,Under Construction,0
2008,Mini-markets,Awarded,0
2008,Markets and Hawker Centres,Completed,0
2008,Markets and Hawker Centres,Under Construction,1
2008,Markets and Hawker Centres,Awarded,0
2008,Kiosks and Shoplets,Completed,0
2008,Kiosks and Shoplets,Under Construction,0
2008,Kiosks and Shoplets,Awarded,0
2008,Food Courts,Completed,0
2008,Food Courts,Under Construction,1
2008,Food Courts,Awarded,0
2008,Restaurants and Fast Food Restaurants,Completed,0
2008,Restaurants and Fast Food Restaurants,Under Construction,0
2008,Restaurants and Fast Food Restaurants,Awarded,0
2008,Emporiums and Supermarkets,Completed,3
2008,Emporiums and Supermarkets,Under Construction,3
2008,Emporiums and Supermarkets,Awarded,2
2008,Offices,Completed,0
2008,Offices,Under Construction,0
2008,Offices,Awarded,0
2008,Commercial Spaces,Completed,0
2008,Commercial Spaces,Under Construction,2
2008,Commercial Spaces,Awarded,0
2009,"Shops, Lock-Up Shops and Eating Houses",Completed,6
2009,"Shops, Lock-Up Shops and Eating Houses",Under Construction,62
2009,"Shops, Lock-Up Shops and Eating Houses",Awarded,20
2009,Mini-markets,Completed,0
2009,Mini-markets,Under Construction,0
2009,Mini-markets,Awarded,3
2009,Markets and Hawker Centres,Completed,0
2009,Markets and Hawker Centres,Under Construction,1
2009,Markets and Hawker Centres,Awarded,0
2009,Kiosks and Shoplets,Completed,0
2009,Kiosks and Shoplets,Under Construction,0
2009,Kiosks and Shoplets,Awarded,0
2009,Food Courts,Completed,0
2009,Food Courts,Under Construction,1
2009,Food Courts,Awarded,0
2009,Restaurants and Fast Food Restaurants,Completed,0
2009,Restaurants and Fast Food Restaurants,Under Construction,0
2009,Restaurants and Fast Food Restaurants,Awarded,0
2009,Emporiums and Supermarkets,Completed,0
2009,Emporiums and Supermarkets,Under Construction,5
2009,Emporiums and Supermarkets,Awarded,2
2009,Offices,Completed,0
2009,Offices,Under Construction,0
2009,Offices,Awarded,0
2009,Commercial Spaces,Completed,0
2009,Commercial Spaces,Under Construction,1
2009,Commercial Spaces,Awarded,0
2010,"Shops, Lock-Up Shops and Eating Houses",Completed,9
2010,"Shops, Lock-Up Shops and Eating Houses",Under Construction,111
2010,"Shops, Lock-Up Shops and Eating Houses",Awarded,53
2010,Mini-markets,Completed,0
2010,Mini-markets,Under Construction,10
2010,Mini-markets,Awarded,9
2010,Markets and Hawker Centres,Completed,0
2010,Markets and Hawker Centres,Under Construction,0
2010,Markets and Hawker Centres,Awarded,0
2010,Kiosks and Shoplets,Completed,0
2010,Kiosks and Shoplets,Under Construction,0
2010,Kiosks and Shoplets,Awarded,0
2010,Food Courts,Completed,1
2010,Food Courts,Under Construction,0
2010,Food Courts,Awarded,0
2010,Restaurants and Fast Food Restaurants,Completed,0
2010,Restaurants and Fast Food Restaurants,Under Construction,0
2010,Restaurants and Fast Food Restaurants,Awarded,0
2010,Emporiums and Supermarkets,Completed,0
2010,Emporiums and Supermarkets,Under Construction,8
2010,Emporiums and Supermarkets,Awarded,2
2010,Offices,Completed,0
2010,Offices,Under Construction,0
2010,Offices,Awarded,0
2010,Commercial Spaces,Completed,1
2010,Commercial Spaces,Under Construction,0
2010,Commercial Spaces,Awarded,0
2011,"Shops, Lock-Up Shops and Eating Houses",Completed,9
2011,"Shops, Lock-Up Shops and Eating Houses",Under Construction,111
2011,"Shops, Lock-Up Shops and Eating Houses",Awarded,75
2011,Mini-markets,Completed,0
2011,Mini-markets,Under Construction,10
2011,Mini-markets,Awarded,7
2011,Markets and Hawker Centres,Completed,0
2011,Markets and Hawker Centres,Under Construction,0
2011,Markets and Hawker Centres,Awarded,0
2011,Kiosks and Shoplets,Completed,0
2011,Kiosks and Shoplets,Under Construction,0
2011,Kiosks and Shoplets,Awarded,0
2011,Food Courts,Completed,1
2011,Food Courts,Under Construction,0
2011,Food Courts,Awarded,0
2011,Restaurants and Fast Food Restaurants,Completed,0
2011,Restaurants and Fast Food Restaurants,Under Construction,0
2011,Restaurants and Fast Food Restaurants,Awarded,1
2011,Emporiums and Supermarkets,Completed,0
2011,Emporiums and Supermarkets,Under Construction,8
2011,Emporiums and Supermarkets,Awarded,9
2011,Offices,Completed,0
2011,Offices,Under Construction,0
2011,Offices,Awarded,0
2011,Commercial Spaces,Completed,1
2011,Commercial Spaces,Under Construction,0
2011,Commercial Spaces,Awarded,0
2012,"Shops, Lock-Up Shops and Eating Houses",Completed,14
2012,"Shops, Lock-Up Shops and Eating Houses",Under Construction,140
2012,"Shops, Lock-Up Shops and Eating Houses",Awarded,39
2012,Mini-markets,Completed,3
2012,Mini-markets,Under Construction,21
2012,Mini-markets,Awarded,6
2012,Markets and Hawker Centres,Completed,0
2012,Markets and Hawker Centres,Under Construction,1
2012,Markets and Hawker Centres,Awarded,1
2012,Kiosks and Shoplets,Completed,0
2012,Kiosks and Shoplets,Under Construction,0
2012,Kiosks and Shoplets,Awarded,0
2012,Food Courts,Completed,0
2012,Food Courts,Under Construction,0
2012,Food Courts,Awarded,3
2012,Restaurants and Fast Food Restaurants,Completed,0
2012,Restaurants and Fast Food Restaurants,Under Construction,1
2012,Restaurants and Fast Food Restaurants,Awarded,1
2012,Emporiums and Supermarkets,Completed,3
2012,Emporiums and Supermarkets,Under Construction,15
2012,Emporiums and Supermarkets,Awarded,5
2012,Offices,Completed,0
2012,Offices,Under Construction,0
2012,Offices,Awarded,0
2012,Commercial Spaces,Completed,0
2012,Commercial Spaces,Under Construction,0
2012,Commercial Spaces,Awarded,0
2013,"Shops, Lock-Up Shops and Eating Houses",Completed,5
2013,"Shops, Lock-Up Shops and Eating Houses",Under Construction,285
2013,"Shops, Lock-Up Shops and Eating Houses",Awarded,128
2013,Mini-markets,Completed,2
2013,Mini-markets,Under Construction,25
2013,Mini-markets,Awarded,7
2013,Markets and Hawker Centres,Completed,0
2013,Markets and Hawker Centres,Under Construction,1
2013,Markets and Hawker Centres,Awarded,0
2013,Kiosks and Shoplets,Completed,0
2013,Kiosks and Shoplets,Under Construction,0
2013,Kiosks and Shoplets,Awarded,0
2013,Food Courts,Completed,0
2013,Food Courts,Under Construction,4
2013,Food Courts,Awarded,4
2013,Restaurants and Fast Food Restaurants,Completed,0
2013,Restaurants and Fast Food Restaurants,Under Construction,8
2013,Restaurants and Fast Food Restaurants,Awarded,4
2013,Emporiums and Supermarkets,Completed,0
2013,Emporiums and Supermarkets,Under Construction,28
2013,Emporiums and Supermarkets,Awarded,13
2013,Offices,Completed,0
2013,Offices,Under Construction,0
2013,Offices,Awarded,0
2013,Commercial Spaces,Completed,0
2013,Commercial Spaces,Under Construction,0
2013,Commercial Spaces,Awarded,0
2014,"Shops, Lock-Up Shops and Eating Houses",Completed,73
2014,"Shops, Lock-Up Shops and Eating Houses",Under Construction,417
2014,"Shops, Lock-Up Shops and Eating Houses",Awarded,222
2014,Mini-markets,Completed,8
2014,Mini-markets,Under Construction,31
2014,Mini-markets,Awarded,8
2014,Markets and Hawker Centres,Completed,1
2014,Markets and Hawker Centres,Under Construction,1
2014,Markets and Hawker Centres,Awarded,1
2014,Kiosks and Shoplets,Completed,0
2014,Kiosks and Shoplets,Under Construction,0
2014,Kiosks and Shoplets,Awarded,0
2014,Food Courts,Completed,0
2014,Food Courts,Under Construction,11
2014,Food Courts,Awarded,16
2014,Restaurants and Fast Food Restaurants,Completed,0
2014,Restaurants and Fast Food Restaurants,Under Construction,10
2014,Restaurants and Fast Food Restaurants,Awarded,3
2014,Emporiums and Supermarkets,Completed,5
2014,Emporiums and Supermarkets,Under Construction,37
2014,Emporiums and Supermarkets,Awarded,18
2014,Offices,Completed,0
2014,Offices,Under Construction,2
2014,Offices,Awarded,2
2014,Commercial Spaces,Completed,0
2014,Commercial Spaces,Under Construction,0
2014,Commercial Spaces,Awarded,0
2015,"Shops, Lock-Up Shops and Eating Houses",Completed,48
2015,"Shops, Lock-Up Shops and Eating Houses",Under Construction,432
2015,"Shops, Lock-Up Shops and Eating Houses",Awarded,71
2015,Mini-markets,Completed,8
2015,Mini-markets,Under Construction,27
2015,Mini-markets,Awarded,7
2015,Markets and Hawker Centres,Completed,0
2015,Markets and Hawker Centres,Under Construction,2
2015,Markets and Hawker Centres,Awarded,1
2015,Kiosks and Shoplets,Completed,0
2015,Kiosks and Shoplets,Under Construction,0
2015,Kiosks and Shoplets,Awarded,0
2015,Food Courts,Completed,0
2015,Food Courts,Under Construction,12
2015,Food Courts,Awarded,2
2015,Restaurants and Fast Food Restaurants,Completed,2
2015,Restaurants and Fast Food Restaurants,Under Construction,10
2015,Restaurants and Fast Food Restaurants,Awarded,2
2015,Emporiums and Supermarkets,Completed,4
2015,Emporiums and Supermarkets,Under Construction,37
2015,Emporiums and Supermarkets,Awarded,5
2015,Offices,Completed,0
2015,Offices,Under Construction,2
2015,Offices,Awarded,0
2015,Commercial Spaces,Completed,0
2015,Commercial Spaces,Under Construction,2
2015,Commercial Spaces,Awarded,0
2015,Neighbourhood Centres,Completed,0
2015,Neighbourhood Centres,Under Construction,4
2015,Neighbourhood Centres,Awarded,4
2016,"Shops, Lock-Up Shops and Eating Houses",Completed,53
2016,"Shops, Lock-Up Shops and Eating Houses",Under Construction,443
2016,"Shops, Lock-Up Shops and Eating Houses",Awarded,62
2016,Mini-markets,Completed,1
2016,Mini-markets,Under Construction,21
2016,Mini-markets,Awarded,1
2016,Markets and Hawker Centres,Completed,1
2016,Markets and Hawker Centres,Under Construction,4
2016,Markets and Hawker Centres,Awarded,0
2016,Kiosks and Shoplets,Completed,0
2016,Kiosks and Shoplets,Under Construction,0
2016,Kiosks and Shoplets,Awarded,0
2016,Food Courts,Completed,0
2016,Food Courts,Under Construction,9
2016,Food Courts,Awarded,0
2016,Restaurants and Fast Food Restaurants,Completed,2
2016,Restaurants and Fast Food Restaurants,Under Construction,18
2016,Restaurants and Fast Food Restaurants,Awarded,5
2016,Emporiums and Supermarkets,Completed,6
2016,Emporiums and Supermarkets,Under Construction,34
2016,Emporiums and Supermarkets,Awarded,4
2016,Offices,Completed,0
2016,Offices,Under Construction,2
2016,Offices,Awarded,0
2016,Commercial Spaces,Completed,1
2016,Commercial Spaces,Under Construction,3
2016,Commercial Spaces,Awarded,0
2016,Neighbourhood Centres,Completed,0
2016,Neighbourhood Centres,Under Construction,5
2016,Neighbourhood Centres,Awarded,1
2017,"Shops, Lock-Up Shops and Eating Houses/Cafes",Completed,359
2017,"Shops, Lock-Up Shops and Eating Houses/Cafes",Under Construction,311
2017,"Shops, Lock-Up Shops and Eating Houses/Cafes",Awarded,75
2017,Mini-markets,Completed,0
2017,Mini-markets,Under Construction,13
2017,Mini-markets,Awarded,0
2017,Markets and Hawker Centres,Completed,0
2017,Markets and Hawker Centres,Under Construction,3
2017,Markets and Hawker Centres,Awarded,0
2017,Kiosks and Shoplets,Completed,0
2017,Kiosks and Shoplets,Under Construction,0
2017,Kiosks and Shoplets,Awarded,0
2017,Food Courts,Completed,0
2017,Food Courts,Under Construction,5
2017,Food Courts,Awarded,0
2017,Restaurants ,Completed,5
2017,Restaurants ,Under Construction,19
2017,Restaurants ,Awarded,3
2017,Supermarkets/Minimarts,Completed,15
2017,Supermarkets/Minimarts,Under Construction,26
2017,Supermarkets/Minimarts,Awarded,7
2017,Offices,Completed,0
2017,Offices,Under Construction,0
2017,Offices,Awarded,0
2017,Commercial Spaces,Completed,0
2017,Commercial Spaces,Under Construction,2
2017,Commercial Spaces,Awarded,0
2017,Neighbourhood Centres,Completed,0
2017,Neighbourhood Centres,Under Construction,6
2017,Neighbourhood Centres,Awarded,0
2018,"Shops, Lock-Up Shops and Eating Houses/Cafes",Awarded,33
2018,"Shops, Lock-Up Shops and Eating Houses/Cafes",Under Construction,284
2018,"Shops, Lock-Up Shops and Eating Houses/Cafes",Completed,134
2018,Markets and Hawker Centres,Awarded,0
2018,Markets and Hawker Centres,Under Construction,2
2018,Markets and Hawker Centres,Completed,0
2018,Kiosks and Shoplets,Awarded,0
2018,Kiosks and Shoplets,Under Construction,0
2018,Kiosks and Shoplets,Completed,0
2018,Supermarkets/Minimarts,Awarded,5
2018,Supermarkets/Minimarts,Under Construction,33
2018,Supermarkets/Minimarts,Completed,11
2018,Offices,Awarded,0
2018,Offices,Under Construction,0
2018,Offices,Completed,0
2018,Neighbourhood Centres,Awarded,2
2018,Neighbourhood Centres,Under Construction,6
2018,Neighbourhood Centres,Completed,0
2019,"Shops, Lock-Up Shops and Eating Houses/Cafes",Awarded,68
2019,"Shops, Lock-Up Shops and Eating Houses/Cafes",Under Construction,297
2019,"Shops, Lock-Up Shops and Eating Houses/Cafes",Completed,52
2019,Markets and Hawker Centres,Awarded,0
2019,Markets and Hawker Centres,Under Construction,2
2019,Markets and Hawker Centres,Completed,0
2019,Kiosks and Shoplets,Awarded,0
2019,Kiosks and Shoplets,Under Construction,0
2019,Kiosks and Shoplets,Completed,0
2019,Supermarkets/Minimarts,Awarded,7
2019,Supermarkets/Minimarts,Under Construction,32
2019,Supermarkets/Minimarts,Completed,10
2019,Offices,Awarded,0
2019,Offices,Under Construction,0
2019,Offices,Completed,0
2019,Neighbourhood Centres,Awarded,0
2019,Neighbourhood Centres,Under Construction,5
2019,Neighbourhood Centres,Completed,0
2020,"Shops, Lock-Up Shops and Eating Houses/Cafes",Awarded,5
2020,"Shops, Lock-Up Shops and Eating Houses/Cafes",Under Construction,258
2020,"Shops, Lock-Up Shops and Eating Houses/Cafes",Completed,38
2020,Markets and Hawker Centres,Awarded,-
2020,Markets and Hawker Centres,Under Construction,2
2020,Markets and Hawker Centres,Completed,-
2020,Kiosks and Shoplets,Awarded,1
2020,Kiosks and Shoplets,Under Construction,0
2020,Kiosks and Shoplets,Completed,-
2020,Supermarkets/Minimarts,Awarded,-
2020,Supermarkets/Minimarts,Under Construction,27
2020,Supermarkets/Minimarts,Completed,5
2020,Offices,Awarded,-
2020,Offices,Under Construction,0
2020,Offices,Completed,-
2020,Neighbourhood Centres,Awarded,-
2020,Neighbourhood Centres,Under Construction,4
2020,Neighbourhood Centres,Completed,1
2021,"Shops, Lock-Up Shops and Eating Houses/Cafes",Awarded,44
2021,"Shops, Lock-Up Shops and Eating Houses/Cafes",Under Construction,436
2021,"Shops, Lock-Up Shops and Eating Houses/Cafes",Completed,118
2021,Markets and Hawker Centres,Awarded,-
2021,Markets and Hawker Centres,Under Construction,2
2021,Markets and Hawker Centres,Completed,-
2021,Kiosks and Shoplets,Awarded,-
2021,Kiosks and Shoplets,Under Construction,0
2021,Kiosks and Shoplets,Completed,-
2021,Supermarkets/Minimarts,Awarded,6
2021,Supermarkets/Minimarts,Under Construction,32
2021,Supermarkets/Minimarts,Completed,3
2021,Offices,Awarded,-
2021,Offices,Under Construction,0
2021,Offices,Completed,-
2021,Neighbourhood Centres,Awarded,1
2021,Neighbourhood Centres,Under Construction,3
2021,Neighbourhood Centres,Completed,2
