Data Series,Resident Households (Number),  1-Person Households (Number),  2-Person Households (Number),  3-Person Households (Number),  4-Person Households (Number),  5-Person Households (Number),  6-Person Households Or Larger (Number),Average Household Size Among Resident Households (Persons),  Total HDB Dwellings (Persons),    HDB 1- And 2-Room Flats (Persons),    HDB 3-Room Flats (Persons),    HDB 4-Room Flats (Persons),    HDB 5-Room And Executive Flats (Persons),  Condominiums And Other Apartments (Persons),  Landed Properties (Persons),  Other Types Of Dwelling (Persons)
2022 ,1399600,217300,331300,329300,287100,147500,87100,3.09,3.02,2.05,2.46,3.15,3.56,3.11,4.12,2.26
2021 ,1390600,217400,331200,297500,279100,160900,104400,3.15,3.09,2.01,2.48,3.27,3.63,3.11,4.2,2.2
2020 ,1372600,220300,309800,280500,275600,163500,122900,3.22,3.13,2.09,2.54,3.29,3.67,3.29,4.38,2.06
2019 ,1372400,208000,334400,286400,283500,155100,104900,3.16,3.07,2.02,2.5,3.22,3.58,3.26,4.24,2.81
2018 ,1325300,185400,306300,276900,284500,160700,111600,3.24,3.18,2.08,2.58,3.34,3.71,3.26,4.17,2.67
2017 ,1289900,167900,289200,277000,278100,161400,116300,3.3,3.25,2.19,2.63,3.42,3.77,3.24,4.29,2.85
2016 ,1263600,156200,276100,266200,286200,161200,117600,3.35,3.3,2.16,2.67,3.46,3.84,3.3,4.28,2.65
2015 ,1225300,146000,259200,256200,282200,164000,117600,3.39,3.34,2.24,2.69,3.49,3.89,3.34,4.3,2.92
2014 ,1200000,134800,252200,251500,280100,162900,118400,3.43,3.37,2.32,2.7,3.53,3.88,3.4,4.32,3.02
2013 ,1174500,124400,234100,243700,290900,165500,116000,3.47,3.42,2.38,2.74,3.58,3.94,3.42,4.33,3.38
2012 ,1152000,109500,230900,238300,281100,170500,121800,3.53,3.48,2.36,2.79,3.63,3.98,3.48,4.35,2.99
2011 ,1146200,114000,227900,237100,279600,169700,117900,3.51,3.46,2.24,2.77,3.65,3.99,3.43,4.38,3.21
2010 ,1145900,139900,215000,231400,263900,168000,127800,3.5,3.45,2.11,2.78,3.66,3.96,3.41,4.39,2.65
2009 ,1119600,115700,219400,234300,271300,164500,114400,3.49,3.45,2.12,2.77,3.66,3.93,3.45,4.28,2.98
2008 ,1093100,109700,214300,227200,268200,163700,110200,3.5,3.45,2.09,2.77,3.66,3.93,3.46,4.32,3.09
2007 ,1074800,116400,204600,223300,262900,166100,101400,3.48,3.44,2.01,2.76,3.65,3.93,3.44,4.22,3.04
2006 ,1054100,112500,207600,217500,258000,160300,98200,3.46,3.43,2,2.77,3.69,3.93,3.33,4.22,2.94
2005 ,1024500,103300,191200,206000,247300,163100,113600,3.56,3.51,2.04,2.8,3.76,4,3.52,4.54,2.91
2004 ,1003800,96300,193000,206800,250300,160200,97200,3.52,3.46,2.04,2.81,3.73,3.93,3.56,4.33,2.85
2003 ,989000,94800,190500,201300,249600,155500,97100,3.52,3.47,1.96,2.85,3.75,3.96,3.45,4.3,2.98
2002 ,964600,82700,181400,205700,242200,162700,89900,3.55,3.51,2.07,2.93,3.75,3.96,3.48,4.19,3.43
2001 ,934400,73200,173700,188300,242200,163200,93800,3.61,3.57,2.19,3.01,3.87,3.97,3.58,4.33,3.17
2000 ,915100,75400,157200,175100,233400,163700,110200,3.7,3.66,2.2,3.11,3.95,4.13,3.67,4.65,3.05