Data Series,  1 Person,  2 Persons,  3 Persons,  4 Persons,  5 Persons,  6 Or More Persons
2022 ,26100,52900,79600,86600,55700,40600
2021 ,24100,54400,68100,80000,57400,48000
2020 ,24800,51700,63400,78800,59400,54500
2019 ,22200,61600,65500,80100,58600,50000
2018 ,19800,53000,65300,81500,60800,50200
2017 ,19500,51600,63800,82500,59600,51700
2016 ,16400,47600,63800,81000,60100,53800
2015 ,16900,46400,62700,85800,64100,55900
2014 ,17100,47700,61500,89100,61800,54800
2013 ,14700,42800,60500,90400,65100,52400
2012 ,12100,43000,55200,86300,65100,57100
2011 ,11800,42300,56600,84000,67800,56100