Planning Area/Subzone of Residence,2020
,
Ang Mo Kio - Total,162280
Bedok - Total,276990
Bishan - Total,87320
Boon Lay - Total,40
Bukit Batok - Total,158030
Bukit Merah - Total,151250
Bukit Panjang - Total,138270
Bukit Timah - Total,77860
Central Water Catchment - Total,-
Changi- Total,1850
Changi Bay - Total,-
Choa Chu Kang - Total,192070
Clementi - Total,91990
Downtown Core - Total,3190
Geylang - Total,110110
Hougang - Total,227560
Jurong East - Total,78600
Jurong West - Total,262730
Kallang - Total,101290
Lim Chu Kang - Total,110
Mandai - Total,2090
Marina East - Total,-
Marina South - Total,-
Marine Parade - Total,46220
Museum - Total,510
Newton - Total,8260
North-Eastern Islands - Total,50
Novena - Total,49330
Orchard - Total,920
Outram - Total,18340
Pasir Ris - Total,147110
Paya Lebar - Total,40
Pioneer - Total,80
Punggol - Total,174450
Queenstown - Total,95930
River Valley - Total,10070
Rochor - Total,13120
Seletar - Total,300
Sembawang - Total,102640
Sengkang - Total,249370
Serangoon - Total,116900
Simpang - Total,-
Singapore River - Total,3260
Southern Islands - Total,1940
Straits View - Total,-
Sungei Kadut - Total,750
Tampines - Total,259900
Tanglin - Total,21810
Tengah - Total,10
Toa Payoh - Total,121850
Tuas - Total,70
Western Islands - Total,10
Western Water Catchment - Total,640
Woodlands - Total,255130
Yishun - Total,221610